                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8841,                 1.6518,                 1.1228,                0.41443,                0.38422,                0.39122,                0.21983,                 1.7352,                 1.1624,                 1.0434,             0.00047252,             0.00047252,             0.00047252
                      2,                 1.7209,                 1.0315,                 1.0226,                0.50365,                0.46275,                0.43906,                0.23404,                 1.6819,                 1.0098,                 1.0231,             0.00094416,             0.00094416,             0.00094416
                      3,                 1.7088,                 1.0046,                  1.019,                0.49683,                0.47096,                0.44121,                0.24157,                 1.6819,                 1.1339,                 1.0363,              0.0014111,              0.0014111,              0.0014111
                      4,                 1.6461,                0.99691,                 1.0261,                0.49948,                0.49855,                0.43656,                0.24272,                 1.6812,                0.99695,                 1.0247,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.6711,                0.94194,                  1.012,                0.54489,                0.53172,                0.48413,                0.26299,                 1.6388,                0.95884,                 1.0189,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.6341,                0.92349,                 1.0097,                0.55546,                0.47685,                0.45998,                0.25773,                 1.6259,                 0.9397,                 1.0071,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6185,                 0.8753,                0.99484,                0.58253,                0.51483,                0.50291,                0.27674,                 1.6038,                0.89587,                 1.0097,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.5912,                 0.8587,                0.99351,                0.56291,                0.49441,                0.47093,                0.26452,                 1.6311,                0.98436,                 1.0054,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.5863,                0.87002,                0.99051,                0.57155,                0.53134,                 0.5006,                 0.2785,                 1.5466,                0.90535,                0.98099,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.6409,                0.88224,                0.99026,                0.57831,                0.54369,                0.51188,                0.28357,                 1.5629,                0.86751,                0.98386,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.5698,                 0.8396,                0.98424,                0.57611,                0.53378,                0.50352,                0.28205,                 1.5433,                0.91609,                0.98939,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.5955,                0.85966,                0.98689,                0.57976,                0.53292,                 0.5167,                0.28264,                 1.5515,                0.86705,                0.98877,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.5527,                0.82531,                0.97759,                0.59321,                0.55249,                0.52502,                0.29427,                 1.5199,                 0.9379,                0.98101,              0.0013512,              0.0013512,              0.0013512
                     14,                  1.523,                 0.8045,                0.97047,                0.59556,                0.53953,                0.53005,                0.28256,                 1.5858,                0.83474,                0.99908,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.5188,                0.79188,                0.97079,                0.58341,                0.53177,                0.52544,                0.28865,                 1.5368,                0.84703,                0.98089,               0.001337,               0.001337,               0.001337
                     16,                 1.5059,                0.78653,                0.97411,                0.55677,                0.55477,                0.51408,                0.28558,                  1.524,                0.84598,                0.98046,                0.00133,                0.00133,                0.00133
                     17,                 1.5128,                 0.8008,                0.97166,                0.59265,                0.54252,                0.54278,                0.29708,                 1.5142,                0.81789,                0.98181,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.4782,                0.77673,                0.96416,                0.59298,                0.56581,                0.53509,                0.28985,                 1.5527,                0.86509,                0.99542,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.5447,                0.79544,                0.96889,                0.62505,                0.55477,                0.55143,                0.29997,                 1.4807,                0.78921,                0.97541,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.4674,                0.74627,                0.96196,                0.59786,                0.55917,                0.54893,                0.30077,                  1.505,                0.77802,                0.98151,              0.0013017,              0.0013017,              0.0013017
                     21,                    1.5,                0.77866,                0.97011,                0.59859,                0.57183,                0.55304,                0.30343,                 1.4952,                0.78476,                0.97918,              0.0012946,              0.0012946,              0.0012946
                     22,                  1.481,                0.75287,                 0.9639,                 0.6253,                0.56007,                0.55513,                 0.3058,                 1.4907,                0.77145,                0.96814,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.4725,                0.75599,                0.95984,                0.58944,                0.54946,                 0.5325,                0.29567,                  1.514,                0.78749,                0.98061,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.4813,                0.75974,                0.95651,                0.64602,                0.56186,                0.57008,                0.30691,                 1.4819,                0.75909,                0.96755,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.4331,                0.72925,                0.95699,                0.60059,                0.56475,                0.55913,                0.30675,                 1.4901,                0.79572,                0.97436,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.4558,                0.74775,                 0.9578,                0.64149,                0.56609,                0.56498,                0.31785,                  1.471,                0.76989,                0.97574,              0.0012592,              0.0012592,              0.0012592
                     27,                  1.446,                 0.7277,                0.95262,                0.64637,                0.58153,                0.57123,                0.31436,                 1.4599,                0.76553,                0.96954,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.4665,                0.74048,                0.95504,                0.63154,                0.56892,                 0.5667,                0.31505,                 1.4642,                0.79454,                0.96637,              0.0012451,              0.0012451,              0.0012451
